canonical	count	symbol	root	quality	pitch_names	root_qual	chord_size
"001010101101"	116	E11/D	E	major	E major	D E F# G# A B	6
"000001000111"	16	B-power/FaddA,B	B-	other	B- other	F A B- B	4
"011000101000"	32	*	D	major	D major	C# D F# G#	4
"001110000001"	39	Epower/DaddD#	E	other	E other	D D# E B	4
"100011100101"	5	Fmaj7/CaddF#,B	F	major	F major	C E F F# A B	6
"000111000010"	8	E-poweraddF-,F	E-	other	E- other	E- F- F B-	4
"010010001100"	1117	Amaj7/C#	A	major	A major	C# E G# A	4
"000000100100"	25427	*	F#	minor	F# minor	F# A	2
"000100001010"	1430	E-sus	A-	other	A- other	E- A- B-	3
"010001001100"	106	A+M7/C#	A	augmented	A augmented	C# E# G# A	4
"101011001001"	8	Bob9/CaddE	B	diminished	B diminished	C D E F A- B	6
"011001101000"	6	*	D	other	D other	C# D F F# G#	5
"100100000111"	5	Adim/CaddB-,B	A	diminished	A diminished	C E- A B- B	5
"000010110000"	1060	*	E	minor	E minor	E F# G	3
"001100010100"	66	*	E-	major	E- major	D E- G A	4
"110011001000"	5	D-mM7/CaddF	D-	other	D- other	C D- F- F A-	5
"100101000000"	6797	Fpower/CaddE-	F	other	F other	C E- F	3
"011010000010"	149	A#dim/C#addD	A#	diminished	A# diminished	C# D E A#	4
"010110010010"	108	A#o7/C#addD#	A#	diminished	A# diminished	C# D# E G A#	5
"011001010100"	22	DmM7/C#addG	D	minor	D minor	C# D F G A	5
"000001001101"	67	*	G#	minor	G# minor	F G# A B	4
"100010000101"	998	Am/CaddB	A	minor	A minor	C E A B	4
"100111100100"	10	F7/CaddG-,E	F	major	F major	C E- E F G- A	6
"011000101100"	16	Dmaj7/C#addG#	D	major	D major	C# D F# G# A	5
"011001000101"	13	B/o9/C#	B	diminished	B diminished	C# D F A B	5
"000001011100"	16	*	F	other	F other	F G A- A	4
"001000110010"	470	GmM7/D	G	minor	G minor	D F# G B-	4
"100100110010"	27	C/o7addG	C	other	C other	C E- G- G B-	5
"010110001001"	10	C#m9	C#	minor	C# minor	C# D# E G# B	5
"100111010000"	9	CmaddF,E	C	other	C other	C E- E F G	5
"100100101010"	30	A-9/C	A-	major	A- major	C E- G- A- B-	5
"011000100001"	580	Bm/C#	B	minor	B minor	C# D F# B	4
"000000100011"	214	Bpower/F#addA#	B	other	B other	F# A# B	3
"011000001000"	193	C#poweraddD	C#	other	C# other	C# D G#	3
"101001000000"	5562	*	D	minor	D minor	C D F	3
"001001101100"	15	DdimaddA,F#	D	other	D other	D F F# A- A	5
"011000000000"	2987	*	D	other	D other	C# D	2
"100111001000"	20	Fm7/CaddE	F	minor	F minor	C E- E F A-	5
"000000110010"	424	*	G	minor	G minor	F# G B-	3
"010001011000"	119	*	C#	other	C# other	C# E# G G#	4
"101010000101"	146	Am/CaddD,B	A	minor	A minor	C D E A B	5
"110010011000"	6	D-mM7/CaddG	D-	minor	D- minor	C D- F- G A-	5
"001101001000"	908	DdimaddE-	D	diminished	D diminished	D E- F A-	4
"100011100010"	19	*	C	major	C major	C E F F# B-	5
"110100011000"	21	A-maj7/CaddD-	A-	major	A- major	C D- E- G A-	5
"100010000001"	2137	*	C	major	C major	C E B	3
"101101001001"	6	Bo11/C	B	diminished	B diminished	C D E- F A- B	6
"011000000010"	383	*	D	other	D other	C# D A#	3
"101101010100"	15	Dm7/CaddG,E-	D	minor	D minor	C D E- F G A	6
"010110001010"	5	A#/o7/C#addD#	A#	diminished	A# diminished	C# D# E G# A#	5
"001000001110"	39	*	B-	major	B- major	D A- A B-	4
"001101001001"	128	Bo7/DaddE-	B	diminished	B diminished	D E- F A- B	5
"111000001101"	6	*	B	other	B other	C D- D A- A B	6
"100010000100"	19443	Am/C	A	minor	A minor	C E A	3
"001000011001"	382	G/DaddG#	G	major	G major	D G G# B	4
"101001000110"	529	B-M9/C	B-	major	B- major	C D F A B-	5
"010000110001"	86	*	G	major	G major	C# F# G B	4
"010001000010"	3886	A#m/C#	A#	minor	A# minor	C# E# A#	3
"110100001100"	93	A-/CaddA,D-	A-	major	A- major	C D- E- A- A	5
"000110101000"	63	F-M9/E-	F-	major	F- major	E- F- G- A-	4
"011010000001"	454	*	C#	minor	C# minor	C# D E B	4
"101010010001"	514	CM9	C	major	C major	C D E G B	5
"001001100000"	227	*	D	other	D other	D F F#	3
"100011100000"	13	Fpower/CaddF#,E	F	other	F other	C E F F#	4
"001001101101"	29	Bo7/DaddA,F#	B	other	B other	D F F# A- A B	6
"101100010010"	229	Cm9	C	minor	C minor	C D E- G B-	5
"010100000001"	231	*	B	major	B major	C# D# B	3
"100100001001"	111	A-/C-addC-	A-	other	A- other	C E- A- C-	4
"001010000110"	91	*	B-	major	B- major	D E A B-	4
"100001100001"	5	*	B	other	B other	C F F# B	4
"010010010011"	111	A#ob9/C#	A#	diminished	A# diminished	C# E G A# B	5
"100101100010"	22	C/o7addF	C	diminished	C diminished	C E- F G- B-	5
"010110010100"	55	A7/C#addD#	A	major	A major	C# D# E G A	5
"001100010010"	2164	E-maj7/D	E-	major	E- major	D E- G B-	4
"000111001001"	8	F-maj7/C-addF	F-	major	F- major	E- F- F A- C-	5
"011011001000"	9	C#maddF,D	C#	minor	C# minor	C# D E F G#	5
"001101011000"	56	DdimaddG,E-	D	diminished	D diminished	D E- F G A-	5
"101000001001"	139	G#dim/C	G#	diminished	G# diminished	C D G# B	4
"111001000000"	9	*	D-	major	D- major	C D- D F	4
"010010001001"	881	C#m7	C#	minor	C# minor	C# E G# B	4
"101000010110"	209	Gm/CaddA	G	minor	G minor	C D G A B-	5
"010110000010"	25	A#dim/C#addD#	A#	diminished	A# diminished	C# D# E A#	4
"001000011000"	294	Gpower/DaddA-	G	other	G other	D G A-	3
"100000010011"	48	CpoweraddB-,B	C	other	C other	C G B- B	4
"010010000100"	48832	A/C#	A	major	A major	C# E A	3
"000100010001"	2129	E-+	E-	augmented	E- augmented	E- G B	3
"010110110100"	9	D#/ob9/C#addG	D#	diminished	D# diminished	C# D# E F# G A	6
"001010001010"	136	Edom7dim5/D	E	other	E other	D E G# B-	4
