canonical	count	symbol	root	quality	root_qual	common	root_common	pitch_names	chord_size
"001010001001"	12413	E7/D	E	major	E major	dominant seventh chord	E dominant seventh chord	D E G# B	4
"000100011100"	5	A-power/E-addG,A	A-	other	A- other	major third testacluster	A- major third testacluster	E- G A- A	4
"000000001001"	10068	*	G#	minor	G# minor	interval class 3	G# interval class 3	G# B	2
"000100011000"	1060	A-power/E-addG	A-	other	A- other	incomplete major-seventh chord	A- incomplete major-seventh chord	E- G A-	3
"101010000000"	2253	*	C	major	C major	whole-tone trichord	C whole-tone trichord	C D E	3
"010011000101"	38	A/C#addE#,B	A	other	A other	enigmatic pentachord	A enigmatic pentachord	C# E E# A B	5
"011010010110"	48	A7/C#addB-,D	A	major	A major	combinatorial RI (RI9)	A combinatorial RI (RI9)	C# D E G A B-	6
"010010100100"	2200	F#m7/C#	F#	minor	F# minor	minor seventh chord	F# minor seventh chord	C# E F# A	4
"101001010011"	5	Gm7/CaddB	G	other	G other		G 	C D F G B- B	6
"000100010101"	127	E-+addA	E-	augmented	E- augmented	augmented seventh chord	E- augmented seventh chord	E- G A B	4
"001000100011"	188	BmM7/D	B	minor	B minor	minor-augmented tetrachord	B minor-augmented tetrachord	D F# A# B	4
"111000100000"	46	*	D	major	D major	major third tetracluster	D major third tetracluster	C C# D F#	4
"010001011111"	9	A9#5/C#addA#,G#	A	augmented	A augmented		A 	C# E# G G# A A# B	7
"001000011101"	7	G/DaddA,A-	G	major	G major	major-seventh pentacluster	G major-seventh pentacluster	D G A- A B	5
"110010000101"	8	*	D-	other	D- other	center-cluster pentachord	D- center-cluster pentachord	C D- F- A C-	5
"010101000000"	238	*	C#	major	C# major	whole-tone trichord	C# whole-tone trichord	C# D# E#	3
"100011000110"	147	Fmaj7/CaddB-	F	major	F major	Balinese Pelog pentatonic	F Balinese Pelog pentatonic	C E F A B-	5
"000110000100"	388	*	A	other	A other	tritone-fourth	A tritone-fourth	E- E A	3
"111000000010"	10	*	B-	other	B- other	major-second tetracluster	B- major-second tetracluster	C D- D B-	4
"011100010100"	10	*	A	major	A major	asssymetric pentamirror	A asssymetric pentamirror	C# D D# G A	5
"100010110100"	190	F#/ob9/C	F#	diminished	F# diminished	diminished-major ninth chord	F# diminished-major ninth chord	C E F# G A	5
"011010001000"	441	C#maddD	C#	minor	C# minor	all-interval tetrachord	C# all-interval tetrachord	C# D E G#	4
"100000000101"	1245	*	A	minor	A minor	minor trichord	A minor trichord	C A B	3
"010100011000"	83	*	C#	other	C# other	tritone quartal tetrachord	C# tritone quartal tetrachord	C# D# G G#	4
"001001011010"	839	Gm7/DaddA-	G	minor	G minor	minor-diminished ninth chord	G minor-diminished ninth chord	D F G A- B-	5
"101100000011"	7	Cm9addB,omitG	C	minor	C minor	minor-second major pentachord	C minor-second major pentachord	C D E- B- B	5
"101010110100"	136	D11/C	D	major	D major	dominant-eleventh	D dominant-eleventh	C D E F# G A	6
"000011100000"	36	*	F	other	F other	chromatic trimirror	F chromatic trimirror	E F F#	3
"101101010110"	7	Cm13	C	minor	C minor	major scale	C major scale	C D E- F G A B-	7
"100110000101"	11	Adim/CaddE,B	A	other	A other	Roma (Gypsy) pentachord	A Roma (Gypsy) pentachord	C E- E A B	5
"001111000000"	5	*	D	minor	D minor	chromatic tetramirror	D chromatic tetramirror	D E- E F	4
"100010010101"	418	Am9/C	A	minor	A minor	minor-ninth chord	A minor-ninth chord	C E G A B	5
"001100010000"	2337	*	E-	major	E- major	incomplete major-seventh chord	E- incomplete major-seventh chord	D E- G	3
"101000100100"	19712	D7/C	D	major	D major	dominant seventh chord	D dominant seventh chord	C D F# A	4
"100110010010"	68	Cm7addE	C	other	C other	Neapolitan pentachord	C Neapolitan pentachord	C E- E G B-	5
"101001000100"	4062	Dm7/C	D	minor	D minor	minor seventh chord	D minor seventh chord	C D F A	4
"001100100001"	75	Bm/DaddD#	B	other	B other	major-minor tetramirror	B major-minor tetramirror	D D# F# B	4
"010000110010"	189	F#/C#addG	F#	major	F# major	major-diminished tetrachord	F# major-diminished tetrachord	C# F# G A#	4
"011100000010"	18	*	D	other	D other	minor third tetracluster	D minor third tetracluster	C# D D# A#	4
"000101110001"	7	*	E-	other	E- other	augmented pentacluster	E- augmented pentacluster	E- F G- G B	5
"000101101001"	12	F/ob9/C-	F	diminished	F diminished	diminished-major ninth chord	F diminished-major ninth chord	E- F G- A- C-	5
"100000110000"	838	*	F#	other	F# other	tritone-fourth	F# tritone-fourth	C F# G	3
"110110010010"	5	Cm7addF-,D-	C	minor	C minor	combinatorial I (I1)	C combinatorial I (I1)	C D- E- F- G B-	6
"000000010001"	36741	*	G	major	G major	interval class 4	G interval class 4	G B	2
"000011110001"	24	EmaddF,F#	E	minor	E minor	major-third pentacluster	E major-third pentacluster	E F F# G B	5
"101100010100"	83	A/o7/CaddD	A	diminished	A diminished	Kumoi pentachord	A Kumoi pentachord	C D E- G A	5
"000011101100"	6	*	F	major	F major	minor-second major pentachord	F minor-second major pentachord	E F F# G# A	5
"000010100110"	15	*	F#	other	F# other	all-interval tetrachord	F# all-interval tetrachord	E F# A A#	4
"110010010010"	387	Go7/C	G	diminished	G diminished	flat-ninth pentachord	G flat-ninth pentachord	C D- F- G B-	5
"010110100100"	40	D#/ob9/C#	D#	diminished	D# diminished	diminished-major ninth chord	D# diminished-major ninth chord	C# D# E F# A	5
"010100010001"	52	G+/C#	G	augmented	G augmented	augmented seventh chord	G augmented seventh chord	C# D# G B	4
"000001101101"	7	Fdim/C-addA,G-	F	other	F other	alternating pentachord	F alternating pentachord	F G- A- A C-	5
"001011011001"	17	Em7/DaddF,A-	E	minor	E minor	combinatorial I (I1)	E combinatorial I (I1)	D E F G A- B	6
"111000010001"	12	*	G	other	G other	major-third pentacluster	G major-third pentacluster	C D- D G B	5
"010110000100"	233	A/C#addD#	A	major	A major	all-interval tetrachord	A all-interval tetrachord	C# D# E A	4
"010010110101"	28	F#m7/C#addG,B	F#	minor	F# minor	dorian hexachord	F# dorian hexachord	C# E F# G A B	6
"000010100100"	3746	*	F#	minor	F# minor	incomplete minor-seventh chord	F# incomplete minor-seventh chord	E F# A	3
"101101011010"	6	Cm11addA-	C	minor	C minor	major scale	C major scale	C D E- F G A- B-	7
"100000100001"	328	Bpower/C	B	other	B other	tritone-fourth	B tritone-fourth	C F# B	3
"000101001100"	19	*	F	other	F other	all-interval tetrachord	F all-interval tetrachord	E- F A- A	4
"001000111001"	5	Gmaj7/DaddG#	G	major	G major	diminished pentacluster	G diminished pentacluster	D F# G G# B	5
"100010110001"	26	Cmaj7addF#	C	major	C major	Hirajoshi pentatonic	C Hirajoshi pentatonic	C E F# G B	5
"010010110010"	129	F#7/C#addG	F#	major	F# major	flat-ninth pentachord	F# flat-ninth pentachord	C# E F# G A#	5
"110000110000"	6	*	F#	other	F# other	double tritone tetramirror	F# double tritone tetramirror	C C# F# G	4
"010010001011"	25	A#/ob9/C#	A#	diminished	A# diminished	diminished-major ninth chord	A# diminished-major ninth chord	C# E G# A# B	5
"000001001100"	316	*	F	other	F other	major-minor trichord	F major-minor trichord	F A- A	3
"010101011101"	5	C#9addA,F##	C#	major	C# major	Neapolitan-major mode	C# Neapolitan-major mode	C# D# E# F## G# A B	7
"100001000000"	19590	Fpower/C	F	other	F other	interval class 5	F interval class 5	C F	2
"110010001100"	13	D-mM7/CaddA	D-	other	D- other	major-augmented ninth chord	D- major-augmented ninth chord	C D- F- A- A	5
"100000100110"	105	F#dim/CaddA#	F#	other	F# other	major-third diminished terachord	F# major-third diminished terachord	C F# A A#	4
"001010011010"	13	E/o7/DaddG#	E	other	E other	Javanese pentatonic	E Javanese pentatonic	D E G G# B-	5
"101001011000"	81	D/o7/CaddG	D	diminished	D diminished	Kumoi pentachord	D Kumoi pentachord	C D F G A-	5
"011010010001"	175	C#/ob9	C#	diminished	C# diminished	diminished-major ninth chord	C# diminished-major ninth chord	C# D E G B	5
"000111000000"	29	*	F	other	F other	chromatic trimirror	F chromatic trimirror	E- E F	3
"010001100000"	184	F#power/C#addE#	F#	other	F# other	incomplete major-seventh chord	F# incomplete major-seventh chord	C# E# F#	3
"001101000100"	669	DmaddE-	D	minor	D minor	all-interval tetrachord	D all-interval tetrachord	D E- F A	4
"000100001100"	111	A-power/E-addA	A-	other	A- other	tritone-fourth	A- tritone-fourth	E- A- A	3
"101010001001"	116	C+M9	C	augmented	C augmented	augmented-diminished ninth chord	C augmented-diminished ninth chord	C D E G# B	5
"110000011000"	20	*	A-	major	A- major	double-fourth tetramirror	A- double-fourth tetramirror	C D- G A-	4
"101000010101"	525	G/CaddA	G	major	G major	major pentachord	G major pentachord	C D G A B	5
"010001011100"	5	A7+/C#addG#	A	augmented	A augmented	augmented pentacluster	A augmented pentacluster	C# E# G G# A	5
"000010100001"	2163	Esus2	E	other	E other	quartal trichord	E quartal trichord	E F# B	3
"001111011000"	6	DdimaddG,E,E-	D	diminished	D diminished		D 	D E- E F G A-	6
"010000011010"	115	*	A#	minor	A# minor	minor-second diminished tetrachord	A# minor-second diminished tetrachord	C# G G# A#	4
"001001110010"	24	Gm7/DaddF#	G	minor	G minor	center-cluster pentamirror	G center-cluster pentamirror	D F F# G B-	5
"001000001000"	5924	*	G#	other	G# other	tritone	G# tritone	D G#	2
