canonical	count	symbol	root	quality	root_qual	common	root_common	pitch_names	chord_size
"010000011000"	1092	*	C#	other	C# other	tritone-fourth	C# tritone-fourth	C# G G#	3
"001100110111"	33	E-mM7/DaddG,A,B	E-	other	E- other	Gypsy (Roma) hexatonic	E- Gypsy (Roma) hexatonic	D E- G- G A B- B	7
"100010010100"	26297	Am7/C	A	minor	A minor	minor seventh chord	A minor seventh chord	C E G A	4
"110010011111"	6	Gob9/CaddA,B	G	other	G other		G 	C D- F- G A- A B- B	8
"100000100011"	63	*	C	other	C other	major third testacluster	C major third testacluster	C G- B- C-	4
"110110001101"	18	D-mM9/C-addA	D-	other	D- other		D- 	C D- E- F- A- A C-	7
"110100001010"	523	A-/CaddB-,D-	A-	major	A- major	major pentachord	A- major pentachord	C D- E- A- B-	5
"100100101101"	265	A-7/C-addA,C-	A-	other	A- other	combinatorial I (I1)	A- combinatorial I (I1)	C E- G- A- A C-	6
"000100000100"	22239	*	A	other	A other	tritone	A tritone	E- A	2
"011010111000"	5	C#dimaddG#,F#,D	C#	other	C# other		C# 	C# D E F# G G#	6
"110011111101"	408	D-mM7/C-addG,G-,A,F	D-	other	D- other		D- 	C D- F- F G- G A- A C-	9
"111100001101"	31	A-/CaddA,B,D-,D	A-	major	A- major		A- 	C D- D E- A- A B	7
"000000110100"	5139	*	F#	minor	F# minor	phrygian trichord	F# phrygian trichord	F# G A	3
"010100110110"	119	D#/o7/C#addG,A#	D#	other	D# other	combinatorial RI (RI4)	D# combinatorial RI (RI4)	C# D# F# G A A#	6
"011101000111"	23	A+/C#addB,A#,D#,D	A	augmented	A augmented		A 	C# D D# E# A A# B	7
"011111010100"	6	A7/C#addD#,E#,D	A	other	A other		A 	C# D D# E E# G A	7
"110101101000"	171	D-M11/C	D-	major	D- major	locrian hexachord	D- locrian hexachord	C D- E- F G- A-	6
"110110001100"	36	D-mM9/CaddA	D-	other	D- other		D- 	C D- E- F- A- A	6
"000000110000"	14537	*	G	other	G other	interval class 1	G interval class 1	F# G	2
"011011000011"	27	B-/C#addE,B	B-	major	B- major	alternating hexamirror	B- alternating hexamirror	C# D E F B- B	6
"000110110110"	27	E-maddG,F-,A	E-	other	E- other	alternating hexamirror	E- alternating hexamirror	E- F- G- G A B-	6
"111001111011"	16	G/o11/CaddB,F#,D	G	other	G other		G 	C D- D F F# G A- B- B	9
"101110001001"	38	A-/CaddB,E,D	A-	other	A- other	combinatorial I (I5)	A- combinatorial I (I5)	C D E- E A- B	6
"000000101101"	980	*	G#	minor	G# minor	minor tetramirror	G# minor tetramirror	F# G# A B	4
"011011101001"	23	C#m7addF,F#,D	C#	minor	C# minor		C# 	C# D E F F# G# B	7
"110101001010"	183	B-m11/C	B-	minor	B- minor	C all combinatorial (P6, I3, RI9)	B- C all combinatorial (P6, I3, RI9)	C D- E- F A- B-	6
"000100010010"	147454	E-	E-	major	E- major	major triad	E- major triad	E- G B-	3
"100110100001"	107	CdimaddC-,E	C	other	C other	Roma (Gypsy) pentachord	C Roma (Gypsy) pentachord	C E- E G- C-	5
"011111011110"	9	A7/C#addA#,D#,E#,G#,D	A	other	A other		A 	C# D D# E E# G G# A A#	9
"111100010000"	144	CmaddD-,D	C	minor	C minor	major-third pentacluster	C major-third pentacluster	C D- D E- G	5
"100000010100"	22447	*	A	minor	A minor	incomplete minor-seventh chord	A incomplete minor-seventh chord	C G A	3
"000011100010"	195	*	F#	major	F# major	major third tetracluster	F# major third tetracluster	E E# F# A#	4
"101100100100"	3597	Ao7/CaddD	A	diminished	A diminished	flat-ninth pentachord	A flat-ninth pentachord	C D E- G- A	5
"000001101000"	1366	*	F	minor	F minor	phrygian trichord	F phrygian trichord	F G- A-	3
"110110101110"	5	Co11addB-,A-	C	diminished	C diminished		C 	C D- E- F- G- A- B-- B-	8
"000100011110"	157	E-addA,A-	E-	major	E- major	major-third pentacluster	E- major-third pentacluster	E- G A- A B-	5
"111000100101"	245	Bpower/CaddA,D-,D	B	other	B other		B 	C D- D F# A B	6
"011000010101"	996	G/C#addA	G	major	G major	lydian pentachord	G lydian pentachord	C# D G A B	5
"000101011001"	316	E-+addF,A-	E-	augmented	E- augmented	diminished-augmented ninth chord	E- diminished-augmented ninth chord	E- F G A- B	5
"101000010001"	10042	G/C	G	major	G major	perfect-fourth major tetrachord	G perfect-fourth major tetrachord	C D G B	4
"100101101010"	151	Fm7/CaddB-,G-	F	minor	F minor	dorian hexachord	F dorian hexachord	C E- F G- A- B-	6
"100001110100"	189	F/CaddG,G-	F	major	F major	major-seventh pentacluster	F major-seventh pentacluster	C F G- G A	5
"011101100011"	21	BmM9/C#addE#,D#	B	other	B other		B 	C# D D# E# F# A# B	7
"100100100001"	1508	CdimaddC-	C	diminished	C diminished	major-diminished tetrachord	C major-diminished tetrachord	C E- G- C-	4
"011010000000"	5121	*	C#	minor	C# minor	phrygian trichord	C# phrygian trichord	C# D E	3
"011100000111"	7	Bm9/C#addA#,D#,omitF#	B	other	B other	combinatorial RI (RI6)	B combinatorial RI (RI6)	C# D D# A A# B	6
"001110001100"	29	*	E-	other	E- other	double pentacluster	E- double pentacluster	D E- E G# A	5
"000100110011"	275	E-maddG,B	E-	other	E- other	Lebanese pentachord	E- Lebanese pentachord	E- G- G B- B	5
"110101011001"	11	CmM7addF,D-,A-	C	minor	C minor	Neapolitan-minor mode	C Neapolitan-minor mode	C D- E- F G A- B	7
"110010010100"	1738	*	D-	other	D- other	Neapolitan pentachord	D- Neapolitan pentachord	C D- F- G A	5
"010000001101"	1225	AM9/C#	A	major	A major	phrygian tetrachord	A phrygian tetrachord	C# G# A B	4
